ID;DATE;ESTIMATION
ID01;25/07/2012 00:00;3825.4595291430182
ID01;25/07/2012 00:10;3819.4097251998983
ID01;25/07/2012 00:20;3814.765083322115
ID01;25/07/2012 00:30;3809.290065840082
ID01;25/07/2012 00:40;3803.6685888962143
ID01;25/07/2012 00:50;3798.698483075917
ID01;25/07/2012 01:00;3791.9504769882487
ID01;25/07/2012 01:10;3788.992669263504
ID01;25/07/2012 01:20;3781.7248839137737
ID01;25/07/2012 01:30;3778.1824969936647
ID01;25/07/2012 01:40;3773.0100152587747
ID01;25/07/2012 01:50;3768.163987800794
ID01;25/07/2012 02:00;3763.541563985077
ID01;25/07/2012 02:10;3758.883903081658
ID01;25/07/2012 02:20;3755.7627786356543
ID01;25/07/2012 02:30;3752.8513321104256
ID01;25/07/2012 02:40;3749.431330073485
ID01;25/07/2012 02:50;3746.1946576136734
ID01;25/07/2012 03:00;3743.4836825823418
ID01;25/07/2012 03:10;3741.0804895421998
ID01;25/07/2012 03:20;3738.3885288551396
ID01;25/07/2012 03:30;3736.0126564657444
ID01;25/07/2012 03:40;3735.0952833339556
ID01;25/07/2012 03:50;3731.9243355649064
ID01;25/07/2012 04:00;3730.254030009525
ID01;25/07/2012 04:10;3728.0272185004733
ID01;25/07/2012 04:20;3726.1493427779037
ID01;25/07/2012 04:30;3724.6914247054915
ID01;25/07/2012 04:40;3723.489920844483
ID01;25/07/2012 04:50;3721.418501363769
ID01;25/07/2012 05:00;3720.776084162099
ID01;25/07/2012 05:10;3719.288398228813
ID01;25/07/2012 05:20;3718.0360069108065
ID01;25/07/2012 05:30;3716.7048002645897
ID01;25/07/2012 05:40;3714.649056729262
ID01;25/07/2012 05:50;3713.9157323392315
ID01;25/07/2012 06:00;3712.1389977801828
ID01;25/07/2012 06:10;3709.5025569735376
ID01;25/07/2012 06:20;3707.707173076879
ID01;25/07/2012 06:30;3703.938306688679
ID01;25/07/2012 06:40;3700.9970201954275
ID01;25/07/2012 06:50;3697.1646349393195
ID01;25/07/2012 07:00;3693.653170202968
ID01;25/07/2012 07:10;3689.5646067911894
ID01;25/07/2012 07:20;3688.1458035184037
ID01;25/07/2012 07:30;3685.3764633893124
ID01;25/07/2012 07:40;3683.962695154552
ID01;25/07/2012 07:50;3680.488623015735
ID01;25/07/2012 08:00;3678.724660272553
ID01;25/07/2012 08:10;3676.535699549356
ID01;25/07/2012 08:20;3675.726037963404
ID01;25/07/2012 08:30;3673.1772293790564
ID01;25/07/2012 08:40;3670.5851394111796
ID01;25/07/2012 08:50;3669.344002835863
ID01;25/07/2012 09:00;3666.1160375673826
ID01;25/07/2012 09:10;3664.0514400651205
ID01;25/07/2012 09:20;3661.849525993632
ID01;25/07/2012 09:30;3660.3330430259193
ID01;25/07/2012 09:40;3658.837564291242
ID01;25/07/2012 09:50;3657.063637481323
ID01;25/07/2012 10:00;3655.408640571807
ID01;25/07/2012 10:10;3654.0483632751466
ID01;25/07/2012 10:20;3650.1564217427963
ID01;25/07/2012 10:30;3648.034678254235
ID01;25/07/2012 10:40;3644.966045762297
ID01;25/07/2012 10:50;3643.054385662798
ID01;25/07/2012 11:00;3641.712258554447
ID01;25/07/2012 11:10;3641.9778363258442
ID01;25/07/2012 11:20;3640.4112390924233
ID01;25/07/2012 11:30;3638.254946285445
ID01;25/07/2012 11:40;3640.7928627438755
ID01;25/07/2012 11:50;3639.8642609664175
ID01;25/07/2012 12:00;3638.9281603453815
ID01;25/07/2012 12:10;3638.4602552333154
ID01;25/07/2012 12:20;3636.812716804943
ID01;25/07/2012 12:30;3637.7474556773577
ID01;25/07/2012 12:40;3636.892216668535
ID01;25/07/2012 12:50;3636.4615268682614
ID01;25/07/2012 13:00;3634.811662700007
ID01;25/07/2012 13:10;3636.4178625688423
ID01;25/07/2012 13:20;3635.8829837980566
ID01;25/07/2012 13:30;3638.0235341840494
ID01;25/07/2012 13:40;3638.0500919853966
ID01;25/07/2012 13:50;3638.4364046578567
ID01;25/07/2012 14:00;3637.751384924497
ID01;25/07/2012 14:10;3639.268869821703
ID01;25/07/2012 14:20;3638.6396744904223
ID01;25/07/2012 14:30;3638.731842872303
ID01;25/07/2012 14:40;3638.9580385509175
ID01;25/07/2012 14:50;3639.4075955432922
ID01;25/07/2012 15:00;3640.455088006977
ID01;25/07/2012 15:10;3640.673083064708
ID01;25/07/2012 15:20;3641.252395424661
ID01;25/07/2012 15:30;3642.0578819031325
ID01;25/07/2012 15:40;3643.2875092269815
ID01;25/07/2012 15:50;3643.878538133856
ID01;25/07/2012 16:00;3645.3298671475163
ID01;25/07/2012 16:10;3645.877210067977
ID01;25/07/2012 16:20;3647.961514745509
ID01;25/07/2012 16:30;3649.600085201486
ID01;25/07/2012 16:40;3651.0624319561325
ID01;25/07/2012 16:50;3651.8279325871526
ID01;25/07/2012 17:00;3652.56985735315
ID01;25/07/2012 17:10;3652.4044829316795
ID01;25/07/2012 17:20;3655.190142443914
ID01;25/07/2012 17:30;3655.6189981163498
ID01;25/07/2012 17:40;3657.355348166262
ID01;25/07/2012 17:50;3658.5816475465085
ID01;25/07/2012 18:00;3661.667537075587
ID01;25/07/2012 18:10;3663.94488776054
ID01;25/07/2012 18:20;3664.957856386472
ID01;25/07/2012 18:30;3667.463281647293
ID01;25/07/2012 18:40;3669.071780889923
ID01;25/07/2012 18:50;3670.9767720642094
ID01;25/07/2012 19:00;3672.973221836178
ID01;25/07/2012 19:10;3675.386562051096
ID01;25/07/2012 19:20;3676.9275123857947
ID01;25/07/2012 19:30;3678.846044804969
ID01;25/07/2012 19:40;3679.3595364968855
ID01;25/07/2012 19:50;3681.414834112839
ID01;25/07/2012 20:00;3683.3945387428175
ID01;25/07/2012 20:10;3684.534644617914
ID01;25/07/2012 20:20;3685.2123745264807
ID01;25/07/2012 20:30;3687.133791012055
ID01;25/07/2012 20:40;3689.0854430932422
ID01;25/07/2012 20:50;3691.188505256479
ID01;25/07/2012 21:00;3693.1129209009996
ID01;25/07/2012 21:10;3695.243831608262
ID01;25/07/2012 21:20;3696.975538280956
ID01;25/07/2012 21:30;3700.9128779032194
ID01;25/07/2012 21:40;3706.0482050637056
ID01;25/07/2012 21:50;3710.678881295631
ID01;25/07/2012 22:00;3715.427917126558
ID01;25/07/2012 22:10;3719.0310863439336
ID01;25/07/2012 22:20;3724.1550474004675
ID01;25/07/2012 22:30;3726.7492132217403
ID01;25/07/2012 22:40;3731.1026196678567
ID01;25/07/2012 22:50;3735.84379202697
ID01;25/07/2012 23:00;3740.338919770367
ID01;25/07/2012 23:10;3743.9492789590763
ID01;25/07/2012 23:20;3748.921996740952
ID01;25/07/2012 23:30;3752.270017834604
ID01;25/07/2012 23:40;3757.7316576633543
ID01;25/07/2012 23:50;3762.7331657758814
ID01;26/07/2012 00:00;3754.5579100293644
ID01;26/07/2012 00:10;3750.978397393031
ID01;26/07/2012 00:20;3746.289935947239
ID01;26/07/2012 00:30;3741.825859066617
ID01;26/07/2012 00:40;3737.095214325797
ID01;26/07/2012 00:50;3732.57073470712
ID01;26/07/2012 01:00;3727.7645273431613
ID01;26/07/2012 01:10;3723.5315296794342
ID01;26/07/2012 01:20;3719.5238818938938
ID01;26/07/2012 01:30;3715.6288273398495
ID01;26/07/2012 01:40;3711.212407386264
ID01;26/07/2012 01:50;3707.3358948922832
ID01;26/07/2012 02:00;3703.1889586274046
